"name"	"type"	"edition"	"rarity"	"value"	"suit"	"cost"	"upkeep"	"control"	"influence"	"bullet"	"stud"	"start"	"outfit"	"text"
"Double Or Nothin'"	"actions"	"Rev"	"R1"	"JC"		0					"no"			"Reaction: immediately after another player becomes the Winner of Gambling Phase lowball, all players must ante again and play another round of lowball to determine a new Winner. No Events resolve from the new Draw hands. Only one copy of this card can be played per turn."
"Cover Fire"	"actions"	"Rev"	"C"	"10C"		0					"no"			"Reaction: When a Shootout action targets one of your Dudes, boot one of your other Dudes in the same posse. Cancel the action."
"Ham-Handed Play"	"actions"	"Rev"	"R1"	"4C"		0					"no"			"Reaction: Immediately before you reveal a legal Draw hand, raise the hand by two ranks. The hand is considered the worst possible hand of its rank and becomes illegal."
"Rats In Gomorra"	"actions"	"Rev"	"C"	"2C"		3					"no"			"Noon: Any number of your Dudes moves from one location to another."
"Audience"	"actions"	"Rev"	"C"	"7C"		0					"no"			"Reaction: Immediately after your posse wins a shootout round, your shooter for the round gains +1 Influence until after Nightfall next turn."
"Trackin' Teeth"	"actions"	"Rev"	"R2"	"6C"		0					"no"			"Noon Harrowed Power: Target one of your unbooted Harrowed Dudes. For the rest of the game, the Dude gains the ability ""Noon: Target a Dude at this Dude's location. Immediately after the target Dude moves, this Dude can move to the same location as a Reaction. If a different Dude is already this action's target, the Dude is no longer targeted."" Ace this card."
"Both Barrels"	"actions"	"Rev"	"C"	"2C"		2					"no"			"Shootout: Draw two Draw hands for this shootout, including all card-drawing bonuses. Immediately before hands are revealed, discard one hand. Reveal the other. Ace this card."
"Paper Money"	"actions"	"RoS"	"C"	"6C"		0					"no"			"Reaction: Play this card when another player is about to take 1 or more ghost rock from your Vault. The player cannot take the ghost rock."
"Let's Take It Outside"	"actions"	"RoS"	"C"	"10C"		0					"no"			"Shootout: Move both posses to the Town Square, ignoring movement restrictions. Continue the shootout normally in the Town Square."
"Bounty"	"actions"	"RoS"	"U"	"2C"		"*"					"no"			"Noon: Target a Dude. The next time a player other than the Dude's controller aces the Dude with an action or during a shootout, the player gains ghost rock equal to the ghost rock paid to play this card."
"Last Will"	"actions"	"RoS"	"C"	"AC"		0					"no"			"Reaction: Play this card when one of your Dudes with one or more Goods is aced. Redistribute the Dude's Goods to any of your other Dudes that can attach them, even if the Dudes are booted or at locations you do not control."
"A Legal Deck"	"actions"	"RoS"	"C"	"QC"		0					"no"			"Reaction: Play this card when a Joker is revealed in a draw or pull. Cancel and ace the Joker, and replace it with the top card of its player's deck."
"Hard Labor"	"actions"	"RoS"	"C"	"3C"		0					"no"			"Noon: Boot one of your Dudes at one of your Deeds. Gain ghost rock equal to either the Dude's Bullet rating or the Deed's Production, whichever is lower."
"What This Town Needs Is..."	"actions"	"RoS"	"C"	"8C"		1					"no"			"Noon: Get any Deed or Improvement from your deck or discard pile, show it to your opponents, and add it to your hand."
"Renovations"	"actions"	"RoS"	"C"	"QC"		0					"no"			"Reaction: Play this card immediately before bringing an in-town Deed into play. Target one of your in-town Deeds. Discard the targeted Deed. Bring the new Deed into play at the old Deed's location. The new Deed's ghost rock cost is reduced by the old Deed's printed ghost rock cost. Dudes who were at the old Deed remain at the new Deed."
"Puny Mortals!"	"actions"	"RoS"	"R"	"7C"		0					"no"			"Reaction: Play this card after a pull succeeds for a skill Difficulty over 6. The skilled Dude permanently gains +1 Influence. Ace this card."
"Insurance Policy"	"actions"	"RoS"	"C"	"KC"		0					"no"			"Noon: Target one of your Dudes with an Upkeep cost over 0. Raise the Upkeep cost by 1. Next time the Dude goes to Boot Hill, collect 3 ghost rock."
"Quick Reload"	"actions"	"RoS"	"C"	"8C"		0					"no"			"Reaction: Play this card after you take an action printed on a Goods. You can use the action a second time this turn."
"My Fight's With You"	"actions"	"RoS"	"C"	"JC"		0					"no"			"Shootout: If this shootout is not for a job, send home booted all Dudes in this shootout except the dealer and the target. Other Dudes cannot join either posse."
"Nemesis"	"actions"	"RoS"	"R"	"5C"		0					"no"			"Shootout: Choose one of your Dudes in this shootout. Target an opposing Dude. After the shootout, whenever these two Dudes oppose each other in a shootout, your Dude gains a +3 Bullet bonus and becomes a Stud."
"Teamwork"	"actions"	"RoS"	"C"	"KC"		0					"no"			"Reaction: Play this card immediately before a skill pull is made when you have another, unbooted Dude at the same location and with the same skill as the skilled Dude. Add the second Dude's skill rating to the acting Dude's for the pull."
"Eureka's Rage"	"actions"	"RoS"	"C"	"10C"		0					"no"			"Noon: If this is the last card in your hand, draw cards equal to your maximum hand size."
"A Stiff Fine"	"actions"	"RoS"	"C"	"2C"		0					"no"			"Cheatin'! Reaction Pull: Play this card when another player reveals an illegal Draw hand. Take ghost rock from the player equal to half of the pull rounded up, up to the player's entire Vault. Only one Cheatin'! card can be played against a player per draw."
"Ambition"	"actions"	"RoS"	"U"	"6C"		0					"no"			"Noon Harrowed Power: Target one of your unbooted Harrowed Dudes. Until the end of the game, the Dude has the ability ""Shootout: Boot this Dude to move this Dude to the shootout's location and join your posse."" Ace this card."
"Good Kharma"	"actions"	"RoS"	"C"	"9C"		0					"no"			"Cheatin'! Reaction: Play this card when another player reveals an illegal Draw hand. Gain 4 ghost rock. Only one Cheatin'! card can be played against a player per draw."
"Mines Reopen"	"actions"	"RoS"	"U"	"2C"		0					"no"			"Reaction: Play this card immediately before the Gambling Phase draw. Play lowball inversely (high hand wins) this turn."
"Worse'n I Thought"	"actions"	"RoS"	"R"	"6C"		0					"no"			"Reaction: Play this card when a Dude being aced is no longer aced due to a card effect. Cancel the effect and ace the Dude normally."
"A Slight Cough"	"actions"	"RoS"	"C"	"4C"		2					"no"			"Noon: Target a Dude. Until the end of the game, the Dude cannot move to any non-adjacent location without a card effect. Immediately before any Gambling Phase during which the Dude is at home, the Dude can boot as a Reaction to remove this effect. Ace this card."
"What Have You Done Lately?"	"actions"	"RoS"	"C"	"5C"		0					"no"			"Noon: During Nightfall this turn, players do not count Victory Points when checking the victory condition."
"I Want A Raise"	"actions"	"RoS"	"U"	"5C"		2					"no"			"Noon: Target a Dude with an Upkeep cost over 0. Raise the Dude's Upkeep cost by 1 until the Dude leaves play. Ace this card."
"Speaking With The Dead"	"actions"	"RoS"	"R"	"JC"		0					"no"			"Noon Harrowed Power: Target one of your unbooted Harrowed Dudes. Until the end of the game, the Dude has the ability ""Noon: Choose an action printed on a Dude in Boot Hill. This Dude is considered to have that action printed on his or her card until after Nightfall."" Ace this card."
"Collegium Sinks The Typhoon"	"actions"	"RoS"	"R"	"KC"		0					"no"			"Noon: Target a number of Dudes at one Deed equal to the number of your ready Gadget Weapons at the Deed. Send the Dudes home booted."
"War Of Words"	"actions"	"RoS"	"C"	"2C"		0					"no"			"Noon: Boot one of your Dudes to call out another Dude at the same location to an unrefusable shootout. During the shootout, all Dudes have their Bullet ratings replaced by their Influence, and all bonuses and penalties to Bullet ratings apply to Influence. Dudes aced in this shootout leave the shootout but remain at the shootout's location. The winning posse controls this location until after Nightfall, regardless of Influence totals."
"Assault On The Whateleys"	"actions"	"RoS"	"R"	"5C"		0					"no"			"Reaction: Play this card when another player moves a Dude to your home or to a Deed you own. A Terror in your Play hand immediately enters play without cost or restriction and calls out the Dude to an unrefusable shootout. If the Terror is in play when the shootout ends, discard the Terror."
"Attitude"	"actions"	"RoS"	"C"	"7C"		0					"no"			"Shootout: Target one of your Dudes in this shootout with more than 0 Influence. The Dude gains a +2 Bullet bonus and has -1 Influence until after Nightfall."
"Relic"	"actions"	"RoS"	"U"	"4C"		0					"no"			"Noon Harrowed Power: Target one of your unbooted Harrowed Dudes. Select a Weapon attached to the Dude. While it remains in play, the Weapon gains an additional +2 Bullet bonus. Ace this card."
"Tricky Spirits"	"actions"	"RoS"	"C"	"2C"		0					"no"			"Reaction: Play this card immediately before a skill pull is made. Increase the skill's Difficulty by 3."
"Wither"	"actions"	"RoS"	"R"	"AC"		0					"no"			"Noon Harrowed Power: Target one of your unbooted Harrowed Dudes. Until the end of the game, the Dude has the ability ""Noon: Boot this Dude. Target a Dude in this or an adjacent location. The target Dude's controller pulls three times: if all three pulls exceed the target Dude's value, ace the target Dude."" Ace this card."
"Grace"	"actions"	"RoS"	"C"	"JC"		0					"no"			"Noon: Target one of your Dudes with a Bullet rating over 0. The Dude has a -1 Bullet penalty and gains +1 Influence until after Nightfall."
"Bankrupt Morals"	"actions"	"RoS"	"C"	"4C"		0					"no"			"Cheatin'! Reaction: Play this card when another player reveals an illegal Draw hand. Return the player's entire Vault to the Bank. Only one Cheatin'! card can be played against a player per draw."
"Miss Me?"	"actions"	"RoS"	"R"	"3C"		0					"no"			"Noon Pull: If the Fear level is over 6, target one of your Dudes in Boot Hill. If the pull is less than the Dude's value, return the Dude to your hand. The next time a copy of the Dude enters play, the Dude permanently gains the Harrowed trait."
"Bribin' The Town Council"	"actions"	"RoS"	"R"	"9C"		3					"no"			"Noon: Boot one of your Dudes with more than 1 Influence. Get any card from your deck or discard pile and add it to your hand. Discard a card from you hand. Shuffle the deck if the card you got came from it. Ace this card."
"Dominion"	"actions"	"RoS"	"C"	"8C"		0					"no"			"Reaction: Play this card when a Harrowed Ability card targets a Harrowed Dude. The Harrowed Dude loses control to his or her manitou; discard the Harrowed Dude."
"Vermin Problem"	"actions"	"RoS"	"C"	"3C"		0					"no"			"Noon: Boot your Outfit card. Target a Deed. Every Maze Rat at the Deed gains a +1 Bullet bonus and +1 Influence for each other Maze Rat at the Deed. Such a bonus goes away if its Dude leaves the Deed, and all such bonuses go away after Nightfall. The Influence increase does not count toward your total Influence during Nightfall. Ace this card."
"Voice O' The Damned"	"actions"	"RoS"	"R"	"9C"		0					"no"			"Noon Harrowed Power: Target one of your unbooted Harrowed Dudes. Until the end of the game, the Dude has the ability ""Reaction: When another Dude at this Dude's location with over 0 Influence is aced, this Dude gains +1 Influence until the end of the turn. This Dude can take this action once for each aced Dude."" Ace this card."
"The Good Doctor"	"deeds"	3	"C"	"A"	"D"	11	1	0	0		"no"			"PrivateController Reaction: Boot the Doctor when a dude has just been aced, pay 2 ghost rock, and Pull: Odd means the dude does not get aced and is sent home booted, instead. Even or face card means he is aced, normally. Joker means he is Harrowed and sent home booted."
"Top of the World Lode"	"deeds"	3	"R"	9	"D"	4	3	0	0		"no"			"Private. Strike"
"Red Hill Hotel"	"deeds"	3	"C"	2	"D"	10	3	2	0		"no"			"PublicController Reaction: Boot the Hotel at the beginning of the upkeep phase to negate the upkeep cost of any dude you control."
"One Eyed Ike's Weapons Locker"	"deeds"	3	"C"	4	"D"	6	2	0	0		"no"			"Public. A dude occupying Ike's can only be called out by Harrowed dudes. Weapons the Controller is bringing into play have their cost reduced by two."
"Bob's Fix-it Shop"	"deeds"	3	"R"	8	"D"	3	0	0	0		"no"			"PrivateController Reaction: Boot the Fix-it Shop when one of your Gadgets is being aced to place it in your Play Hand.Controller Reaction: Boot the Fix-it Shop when one of your goods is being aced to place it in your Discard pile."
"Orphanage"	"deeds"	3	"R"	10	"D"	4	0	1	0		"no"			"Private. GovernmentController Reaction: Boot the Orphanage at the beginning of the upkeep phase to double the ghost rock production of one strike deed this turn (after other bonuses)."
"Ignacio's Excotics"	"deeds"	3	"C"	"J"	"D"	4	1	0	0		"no"			"Private. All Mystical goods you bring into play cost 2 less ghost rock."
"Smiley's Shaft"	"deeds"	3	"C"	2	"D"	10	7	2	0		"no"			"Private. Strike"
"Hell's End Mine"	"deeds"	3	"R"	3	"D"	8	5	1	0		"no"			"Private. Strike"
"The Docks"	"deeds"	3	"R"	6	"D"	6	"*"	1	0		"no"			"Private. The cost of the Docks is decreased by two if you have Big Jake in play.The Docks produce ghost rock equal to the number of strikes in play."
"Equipment Shop"	"deeds"	3	"R"	3	"D"	8	0	0	0		"no"			"Private. All of your strikes produce 1 extra ghost rock."
"Scooter's Lift Winch"	"deeds"	3	"C"	9	"D"	3	0	0	0		"no"			"Private. The ghost rock cost of the Lift winch is reduced to zero if you have Scooter in play. The Lift Winch is considered adjacent to any deed with a Winch token.Controller Noon: Boot the Lift Winch and pay 2 ghost rock to place a Winch token on an out of town deed you own."
"Barkum & Barkum Attorneys"	"deeds"	4	"C"	5	"D"	5	0	1	0		"no"			"PrivateController Noon Pull: Boot the attorneys and one of your Wanted dudes. If the pull's value is less than or equal to the dude's value, the dude is no longer Wanted."
"Callahan's Ditch"	"deeds"	4	"C"	9	"D"	2	2	0	0		"no"			"Private. Strike"
"Pacific Maze Railstation"	"deeds"	4	"R"	3	"D"	8	"*"	2	0		"no"			"Public. Railstation produces 1 ghost rock per Maze Rat in play.Controller Reaction: Boot Railstation to raise or lower the cost of any goods being purchased by 2 ghost rock."
"Sunnyside Hotel"	"deeds"	4	"R"	4	"D"	7	2	2	0		"no"			"Public. Brothel"
"The Clock Tower"	"deeds"	4	"R"	"K"	"D"	1	0	0	0		"no"			"Public. The controller of the Clock Tower gets one Shootout action before The Winner during any Shootout."
"Lord Grimely's Manor"	"deeds"	4	"R"	2	"D"	10	0	1	0		"no"			"Private. Raise the Fear Level by one while the Manor is in play. Players other than the Manor's owner may not gain control of the Manor or Deeds adjacent to the Manor. While the Fear Level is 10, you have one additional Control Point."
"King Willy's Mother Lode"	"deeds"	4	"C"	6	"D"	5	3	1	0		"no"			"Private. Strike"
"Fish Ridge Mine"	"deeds"	5	"R"	4	"D"	5	3	1	0		"no"			"Private. Strike"
"Weaponsmith"	"deeds"	5	"R"	7	"D"	5	1	1	0		"no"			"Controller Noon: Boot one of your dudes at this location. One weapon carried by this dude has its Bullet Rating increased by +1 until the end of the game. Each weapon can only be modified once in this fashion."
"Deadland"	"deeds"	5	"R"	"J"	"D"	3	0	0	0		"no"			"Public. Non-Unique. Bring into play for free ifthe Fear Level is 6 or higher. Subsequent Deadlands must have 1 higher Fear Level to be played.Controller Reaction: Boot when you are bringing a Terror into play to produce 5 ghost rock."
"Miss Coutreau's"	"deeds"	5	"C"	8	"D"	4	1	1	0		"no"			"Private"
"Icehouse"	"deeds"	5	"R"	6	"D"	5	0	1	0		"no"			"PrivateController Reaction: Boot immediately after a dude is aced to put him on ice instead of burying him (this aces any dude currently in the Icehouse). This dude is dead but not at Boot Hill, and only the controller of the Icehouse can target this dude."
"On the Side Strike"	"deeds"	5	"C"	10	"D"	2	2	0	0		"no"			"Private. Strike"
"Water's Edge Strike"	"deeds"	5	"C"	9	"D"	2	2	0	0		"no"			"Private. Strike"
"Thunder Gulch Strike"	"deeds"	5	"C"	"Q"	"D"	0	1	0	0		"no"			"Private. Strike"
"Howlin' Hollow"	"deeds"	6	"R"	5	"D"	5	2	0	0		"no"			"Private. Strike. HauntedController Noon: Boot to give a Harrowed dude +1 Bullet bonus for this turn."
"Harlot`s Haven Strike"	"deeds"	6	"C"	"Q"	"D"	0	1	0	0		"no"			"Private. Strike"
"Green-Eye Saloon"	"deeds"	6	"C"	8	"D"	4	1	1	0		"no"			"Public. Non-Unique"
"Smiling Lizard Lode"	"deeds"	6	"R"	2	"D"	9	5	2	0		"no"			"Private. StrikeAny dude that is not a Terror is at a -1 Bullet penalty while in a Shootout at this location."
"Ike`s Strike"	"deeds"	6	"C"	10	"D"	1	1	0	0		"no"			"Private. Non-Unique. Strike"
"Library"	"deeds"	6	"R"	3	"D"	7	1	1	0		"no"			"Public. All Hucksters in the controller's gang have +1 Bullet bonus and +1 Influence."
"The Lucky Dog Lode"	"deeds"	6	"C"	7	"D"	4	3	0	0		"no"			"Private. Strike"
"The Barber's Shop"	"deeds"	7	"R"	10	"D"	4	1	1	0		"no"			"Public"
"Lucky Horseshoe Lode"	"deeds"	7	"R"	4	"D"	8	5	0	0		"no"			"Private. Strike"
"The Bathhouse"	"deeds"	7	"C"	9	"D"	4	0	1	0		"no"			"PublicDudes in the bathhouse cannot be targeted by action cards or by actions from dudes that are not in this location."
"Town Well"	"deeds"	7	"C"	"Q"	"D"	3	0	1	0		"no"			"Public"
"The Mission House"	"deeds"	7	"R"	8	"D"	4	1	1	0		"no"			"Public. Out of Town. Holy Ground. No Terrors may move to the Mission House or call out a dude within it."
"Strike Experiment #1"	"deeds"	7	"C"	"K"	"D"	2	2	0	0		"no"			"Private. Strike"
"Tent City (Chinese Workers)"	"deeds"	7	"C"	5	"D"	6	0	2	0		"no"			"Public. Tent City's cost is reduced by 2 if you have Captain Sim Yut-San in play."
"Den of Eastern Delights"	"deeds"	7	"R"	2	"D"	2	0	0	0		"no"			"Public. Non-UniqueOwner Reaction: Boot to cancel the effects of an event immediately after it is revealed. The event is aced."
"Flophouse"	"deeds"	7	"C"	"K"	"D"	3	1	0	0		"no"			"Public. The Flophouse's controller may bring dudes into play at the Flophouse instead of at home."
"The Dentist's Office"	"deeds"	8	"C"	6	"D"	5	2	1	0		"no"			"Private"
"Stuffed To The Gills Strike"	"deeds"	8	"R"	"A"	"D"	14	8	3	0		"no"			"Private. StrikeThe Fear Level is raised by two while the Stuffed to the Gills is in play."
"Knot Mine"	"deeds"	8	"C"	3	"D"	10	6	2	0		"no"			"Private. StrikeAll Abominations at this location have a +1 Bullet rating. All Abominations at this location have a +1 Influence only for the purposes of controlling this location."
"The Guilded Feather"	"deeds"	8	"R"	6	"D"	5	2	1	0		"no"			"Public. Brothel"
"Machinist's Shop"	"deeds"	8	"R"	"Q"	"D"	3	0	0	0		"no"			"Private. Any Mad Scientist in the shop has his or her Mad Scientist skill increased by one."
"Gomorra Gazette"	"deeds"	8	"C"	"A"	"D"	8	1	1	0		"no"			"PrivateController Noon: Boot to increase one dude's Influence by one until after nightfall.Controller Noon: Boot and pay 2 ghost rock to decrease one dude's Influence by one until after nightfall."
"The Carpenter's Shop"	"deeds"	8	"C"	7	"D"	5	0	1	0		"no"			"Public. All of the controller's in-town deeds cost 2 less ghost rock to put into play (minimum zero)."
"Raven's Crevasse"	"deeds"	8	"R"	7	"D"	6	4	0	0		"no"			"Private. Strike"
"Lonesome Willow Strike"	"deeds"	9	"C"	5	"D"	6	3	1	0		"no"			"Private. Strike"
"Stagecoach Office"	"deeds"	9	"R"	8	"D"	5	0	1	0		"no"			"PublicController Noon: Ace a card from your hand to gain 1 ghost rock. There is no limit to the number of times that you may perform this action."
"Look Homeward Mine"	"deeds"	9	"R"	"J"	"D"	0	1	0	0		"no"			"Private. Strike"
"The Intelligence Shop"	"deeds"	9	"R"	3	"D"	6	0	2	0		"no"			"PrivateController Noon: Boot to raise a dude's Influence by one until after nightfall."
"Surveyor's Office"	"deeds"	9	"C"	10	"D"	4	0	1	0		"no"			"Private. When a deed with production greater than 3 enters play, the Owner of the Surveyor's office gets one ghost rock."
"Buffalo Chip Saloon"	"deeds"	9	"C"	2	"D"	7	2	2	0		"no"			"PublicTo call a dude out in the Buffalo Chip Saloon, a player must pay one Ghostrock to the Buffalo Chip's controller."
"The Gaping Maw Strike"	"deeds"	9	"C"	"J"	"D"	4	3	0	0		"no"			"Private. Strike"
"Legal Offices Of _________"	"deeds"	9	"R"	9	"D"	5	1	0	0		"no"			"PrivateController Noon: Pay 3 ghost rock to gain one Control Point until after nightfall. A Player may not perform this action more than twice per turn."
"Dragon's Nest Strike"	"deeds"	"1&2"	"R"	"A"	"D"	14	8	3	0		"no"			"Private. StrikeThe dude or dudes in play with the lowest value are aced when this strike is put into play from your Play Hand."
"Old Moon Saloon"	"deeds"	"1&2"	"C1"	7	"D"	5	1	1	0		"no"			"Public. Any time another Player reveals an illegal Draw Hand, the Owner of the Old Moon Saloon gains one ghost rock."
"Spirit of Kentucky Shaft"	"deeds"	"1&2"	"C2"	9	"D"	4	3	0	0		"no"			"Private. Strike"
"Abandoned Mine"	"deeds"	"1&2"	"R"	6	"D"	6	3	0	0		"no"			"Private. StrikeOnly Terrors may move to the Abandoned Mine."
"Foale's Folly"	"deeds"	"1&2"	"C2"	"K"	"D"	0	1	0	0		"no"			"Private. Strike"
"Graveyard"	"deeds"	"1&2"	"R"	4	"D"	7	0	2	0		"no"			"Private. The Owner gains 3 ghost rock each time a dude is aced.Controller Reaction: Boot the Graveyard to negate the Harrowing of any dude."
"Tombstone Dispatch Branch Office"	"deeds"	"1&2"	"C1"	"K"	"D"	1	1	0	1		"no"			"Private. The Dispatch Branch counts as 1 Influence for the Controller's total.Controller Reaction: Boot the Branch Office when a dude becomes Wanted. Gain 2 ghost rock."
"The 1st Bank of Gomorra"	"deeds"	"1&2"	"R"	3	"D"	9	3	3	0		"no"			"Public. The Controller's ghost rock may not be stolen. If control of the First Bank changes, the new Controller takes half of the old Controller's ghost rock (round down). All dudes have their Influence reduced by one (minimum zero) while at the First Bank."
"Golden Mare Hotel"	"deeds"	"1&2"	"R2"	6	"D"	6	2	1	0		"no"			"Public. Brothel. The Owner gains one ghost rock each time a dude is put into play from someone's Play Hand."
"Photographer Shop"	"deeds"	"1&2"	"C1"	"J"	"D"	2	0	0	0		"no"			"PrivateController Reaction: Boot the Photographer Shop when a dude is brought into play to gain ghost rock equal to the dude's Influence."
"The Alright Corral"	"deeds"	"1&2"	"C1"	10	"D"	3	1	0	0		"no"			"Private. Any horse the Controller is putting into play has its cost reduced by 3."
"Schoolhouse"	"deeds"	"1&2"	"C1"	7	"D"	3	0	1	0		"no"			"Public. GovernmentSchoolhouse may not enter play if the Fear Level is above 3."
"Scrapyard"	"deeds"	"1&2"	"R"	9	"D"	3	1	0	0		"no"			"PrivateAll of your Gadgets cost 1 less ghost rock to bring into play while you control Scrapyard."
"Perry's Pawnshop"	"deeds"	"1&2"	"R"	5	"D"	6	2	0	0		"no"			"PrivateController Noon: Boot the Pawnshop and ace a goods card you control to gain ghost rock equal to half of that card's ghost rock cost (round down)."
"The Courthouse"	"deeds"	"1&2"	"R"	"A"	"D"	10	2	2	0		"no"			"Public. Government. Only a Law Dog may move to the Courthouse.Controller Noon: Boot to make a dude un-Wanted.Controller Noon: Boot to ace any dude in jail."
"Wishing Well"	"deeds"	"1&2"	"C1"	"K"	"D"	1	0	0	0		"no"			"PublicController Noon: Boot the Wishing Well and spend 1 ghost rock. Pull: 2-5, get nothing; 6-8, get 1 ghost rock; 9-J, get 2 ghost rock; Q-K, get 3 ghost rock; A, get 4 ghost rock; Joker, lose 2 ghost rock (if possible)."
"Blacksmith"	"deeds"	"1&2"	"C1"	10	"D"	4	1	0	0		"no"			"Private. +1 ghost rock production for each Mad Scientist dude in play, to a maximum total production of +3."
"Pharmacy"	"deeds"	"1&2"	"R2"	7	"D"	4	1	0	0		"no"			"PrivateController Noon: Boot the Pharmacy and pay two ghost rock to unboot a dude in an adjacent location."
"Casino Morongo"	"deeds"	"1&2"	"C1"	6	"D"	6	2	1	0		"no"			"Public. Dudes aced in a Shootout in the Morongo do not go to Boot Hill - they go to their Owner's discard pile, instead."
"LAD Saloon"	"deeds"	"1&2"	"R"	4	"D"	7	3	1	0		"no"			"Public. Any dude called out while occupying the LAD Saloon has +1 Bullet for the shootout."
"Pony Express"	"deeds"	"1&2"	"C1"	8	"D"	5	1	1	0		"no"			"PrivateController Noon: Boot to discard a card and draw a new one."
"Sam's General Store"	"deeds"	"1&2"	"C1"	5	"D"	6	3	0	0		"no"			"PublicController Reaction: Boot to reduce by 2 the cost of any goods card you are putting into play."
"The Slaughterhouse"	"deeds"	"1&2"	"C1"	8	"D"	2	1	0	0		"no"			"PrivateController Noon: Boot the Slaughterhouse to remove any aced dude from play. That dude may not be brought into play by any player for the rest of this game."
"Colorado Lode"	"deeds"	"1&2"	"R"	"A"	"D"	11	7	2	0		"no"			"Private. StrikeYou may ace any one strike that produces less than 3 ghost rock per turn when this card is brought into play. If you ace your own strike, then the cost of this strike is reduced by the production value of the one you aced."
"Exchange Office"	"deeds"	"1&2"	"C2"	"Q"	"D"	1	0	0	0		"no"			"PrivateController Noon: Boot the Exchange Office to gain 1 ghost rock for every deed in play that produces more than 3 ghost rock."
"Drop in the Ocean Strike"	"deeds"	"1&2"	"C2"	"Q"	"D"	1	1	0	0		"no"			"Private. Non-Unique. Strike"
"The Tree"	"deeds"	"1&2"	"R2"	"Q"	"D"	2	0	0	0		"no"			"PublicAny dudes at this location are considered adjacent to all deeds in town, but cannot be called out without a card effect."
"Dispatch Office"	"deeds"	"1&2"	"D"	5	"D"	5	0	0	0		"no"			"Private. Any of the Controller's dudes at this location with Influence greater than zero has his or her Influence increased by one while at this location."
"San Simeon Mine"	"deeds"	"1&2"	"C2"	"J"	"D"	3	2	0	0		"no"			"Private. Non-Unique. Strike"
"The Undertaker's"	"deeds"	"1&2"	"C1"	"Q"	"D"	2	0	0	0		"no"			"PrivateThe Controller gains 1 ghost rock every time a dude is aced."
"St. Martin's Chapel"	"deeds"	"1&2"	"R2"	7	"D"	5	1	1	0		"no"			"Public. Holy Ground. No Terrors may move to St. Martin's or call out a dude within it."
"Hideout"	"deeds"	"1&2"	"R2"	10	"D"	0	0	0	0		"no"			"Private. Out of Town. When this deed is brought into play, choose any one deed out of town that this deed is ""adjacent to."" Your posse gets a +1 Draw bonus when defending at the Hideout, and always gets the first Shootout action."
"Town Hall"	"deeds"	"1&2"	"R"	2	"D"	8	3	3	0		"no"			"Public. GovernmentController Reaction: Boot Town Hall and one or more of your dudes to prevent a deed from entering play. Your dudes must have more total Influence than the ghost rock cost of the deed to perform this action. The deed is aced, but no ghost rock is spent."
"Henry's Hole"	"deeds"	"1&2"	"C1"	"K"	"D"	0	1	0	0		"no"			"Private. Strike"
"Claims Office"	"deeds"	"1&2"	"R"	4	"D"	7	0	2	0		"no"			"Private. The Owner gains 1 ghost rock each time a player puts a strike into play.Controller Reaction: Boot and pay 2 ghost rock to prevent the purchase of any strike deed. The deed is returned to the top of that Player's deck, and the ghost rock is returned to the Player's Vault."
"Fu Leng's Laundry & Tailoring"	"deeds"	"1&2"	"R2"	8	"D"	6	0	2	0		"no"			"Private. Fu Leng's cost is reduced by 2 if you have Tao Cheng in play."
"Jail"	"deeds"	"1&2"	"R"	5	"D"	6	1	1	0		"no"			"Private. Government. Any Player who aces a Wanted dude may elect instead to put them in the Jail, collecting a bounty equal to half the jailed dude's ghost rock cost. A dude in Jail is out of play (except for uniqueness) until they are broken out with a Noon Job."
"The Golden Crack"	"deeds"	"1&2"	"R"	2	"D"	8	5	0	0		"no"			"Private. Strike"
"The Desert Rose Lode"	"deeds"	"1&2"	"C1"	"Q"	"D"	2	2	0	0		"no"			"Private. Strike"
"Rock Ridge Mine"	"deeds"	"1&2"	"R"	3	"D"	8	5	1	0		"no"			"Private. Strike"
"Pike's Puddle Mine"	"deeds"	"1&2"	"C2"	"J"	"D"	1	1	0	0		"no"			"Private. Non-Unique. Strike"
"Miner's Union House"	"deeds"	"1&2"	"R"	4	"D"	7	"*"	1	0		"no"			"Private. The Union House's Controller never has his strikes' production decreased or prevented when he is both Owner and Controller of the strike. The production of the Union House is equal to the number of strikes in play."
"Nasty Doc's"	"deeds"	"1&2"	"R"	"A"	"D"	20	3	1	0		"no"			"PrivateReaction: Boot Doc's and ace any non-Terror dude you control to Harrow a dude who has just been killed. If you didn't control the dude before, you do now."
"Confederate Barracks"	"deeds"	"Ash"	"U"	2		3	1	1			"no"			"Public. Government When the Confederate Barracks' controller puts a Dude into play from his or her Play hand, reduce the ghost rock cost of the Dude by 2."
"Spiritual Society Enclave"	"deeds"	"Ash"	"R"	3		7	3	1			"no"			"Private. Out of Town"
"Hydro-Accelerator"	"deeds"	"Ash"	"C"	"K"		1	1	1			"no"			"Public"
"Accountant"	"deeds"	"Ash"	"U"	4		4	0				"no"			"Private While the Accountant is in play, all Events have a ghost rock cost of 2. If the Event's owner does not pay this ghost rock cost, the Event is aced without effect."
"Union Train Depot"	"deeds"	"Ash"	"R"	"A"		7	1	1			"no"			"Public While the Union Train Depot is in play, no player can win the game unless he or she controls this Deed. The Depot's controller is always the player with the most Influence at it (owner wins ties), regardless of other card effects."
